index,type,name,description,images,price,discount
0,simple,Divi Engine String Bag (Big Logo),This fashionable string bag is made of 100% cotton. It is the perfect size for carrying your everyday essentials.,"https://ajax-filters-bc.diviengine.com/sampledata/images/Bag1.jpg, https://ajax-filters-bc.diviengine.com/sampledata/images/Bag1-1.jpg, https://ajax-filters-bc.diviengine.com/sampledata/images/Bag1-2.jpg",19.99,17.991
1,simple,Divi Engine String Bag (Small Logos),This fashionable string bag is made of 100% cotton. It is the perfect size for carrying your everyday essentials.,"https://ajax-filters-bc.diviengine.com/sampledata/images/Bag2.jpg, https://ajax-filters-bc.diviengine.com/sampledata/images/Bag2-1.jpg, https://ajax-filters-bc.diviengine.com/sampledata/images/Bag2-2.jpg",19.99,17.991
2,variable,Brand Buttons,"Represent your favorite CMS, eCommerce Platform, Website Builder, or Plugin Company in style with a cool pin.",https://ajax-filters-bc.diviengine.com/sampledata/images/DE-Pins-4.jpg,20,18
3,variation,Brand Buttons - Divi,Quality variation product - Brand Buttons - Divi,https://ajax-filters-bc.diviengine.com/sampledata/images/DE-Pins-1.jpg,9.99,8.991
4,variation,Brand Buttons - Divi Engine,Quality variation product - Brand Buttons - Divi Engine,https://ajax-filters-bc.diviengine.com/sampledata/images/DE-Pins-4.jpg,9.99,8.991
5,variation,Brand Buttons - WooCommerce,Quality variation product - Brand Buttons - WooCommerce,https://ajax-filters-bc.diviengine.com/sampledata/images/DE-Pins-2.jpg,9.99,8.991
6,variation,Brand Buttons - WordPress,Quality variation product - Brand Buttons - WordPress,https://ajax-filters-bc.diviengine.com/sampledata/images/DE-Pins-3.jpg,9.99,8.991
7,simple,Lanyard,Stop losing your important access keys with a lanyard that is ALMOST as reliable as Divi Engine plugins!,https://ajax-filters-bc.diviengine.com/sampledata/images/Lanyard1.jpg,9.99,7.99
8,variable,Divi Engine Tee,This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,"https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-yellow-front.jpg, https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-blue-front.jpg, https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-white-front.jpg",20,18
9,variation,"Divi Engine Tee - Blue, Large","Quality variation product - Divi Engine Tee - Blue, Large",https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-blue-front.jpg,14.99,13.491
10,variation,"Divi Engine Tee - White, Large","Quality variation product - Divi Engine Tee - White, Large",https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-white-front.jpg,14.99,13.491
11,variation,"Divi Engine Tee - Yellow, Large","Quality variation product - Divi Engine Tee - Yellow, Large",https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-yellow-front.jpg,14.99,13.491
12,variation,"Divi Engine Tee - Blue, Medium","Quality variation product - Divi Engine Tee - Blue, Medium",https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-blue-front.jpg,14.99,13.491
